"","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"2296","Color","Bob Clark",32,88,84,177,"Vanessa Angel",650,9109322,"Comedy|Family|Sci-Fi","Scott Baio","Superbabies: Baby Geniuses 2 ",25371,1343,"Peter Wingfield",3,"computer|good versus evil|mind control|science experiment|sequel","http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1",129,"English","Germany","PG",2e+07,2004,384,1.9,2.35,0
"904"," Black and White","Baz Luhrmann",209,127,1000,653,"Kylie Minogue",1000,57386369,"Drama|Musical|Romance","Jim Broadbent","Moulin Rouge! ",224013,2601,"Richard Roxburgh",1,"death of main character|eiffel tower paris|jealousy|tragedy|two suitors","http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1",2319,"English","USA","PG-13",52500000,2001,691,7.6,2.35,10000
"2858","Color","Frank Darabont",330,126,0,745,"Alexa Davalos",2000,25592632,"Horror","Toby Jones","The Mist ",220475,5371,"Jeffrey DeMunn",0,"desperation|fog|giant insect|survival|survival horror","http://www.imdb.com/title/tt0884328/?ref_=fn_tt_tt_1",1066,"English","USA","R",1.8e+07,2007,850,7.2,1.85,20000
"3967","Color","Bruce Macdonald",3,94,103,111,"Cheryl Ladd",544,NA,"Adventure|Biography|Drama|Romance","Rachel Hendrix","The Perfect Wave ",724,1150,"Diana Vickers",1,"boyfriend girlfriend relationship|friend|praying|surfing|wave","http://www.imdb.com/title/tt2414822/?ref_=fn_tt_tt_1",15,"English","South Africa","PG",4e+06,2014,476,4.7,NA,365
"3893","Color","Marc Forster",153,112,395,80,"Peter Boyle",13000,31252964,"Drama|Romance","Heath Ledger","Monster's Ball ",71495,13707,"Marcus Lyle Brown",1,"cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex","http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1",522,"English","USA","R",4e+06,2001,595,7.1,2.35,0
"4831","Color","Peter Hedges",131,80,54,543,"Adrian Martinez",1000,2360184,"Comedy|Drama","Oliver Platt","Pieces of April ",18035,3010,"Derek Luke",3,"apartment|oven|stove|thanksgiving|thanksgiving dinner","http://www.imdb.com/title/tt0311648/?ref_=fn_tt_tt_1",177,"English","USA","PG-13",3e+05,2003,806,7.1,1.85,0
"1496","Color","Peter Hewitt",63,83,12,690,"Rip Torn",2000,11631245,"Action|Adventure|Family|Sci-Fi","Kevin Zegers","Zoom ",15015,5022,"Thomas F. Wilson",5,"bruise|female hero|super strength|superhero|teenage superhero","http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1",113,"English","USA","PG",3.5e+07,2006,826,4.2,1.85,494
"223","Color","Tim Story",262,92,167,702,"Ioan Gruffudd",11000,131920333,"Action|Adventure|Sci-Fi|Thriller","Chris Evans","Fantastic 4: Rise of the Silver Surfer ",213275,15302,"Andre Braugher",3,"fantastic four|space|strong female character|strong female lead|superheroine","http://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1",436,"English","USA","PG",1.3e+08,2007,2000,5.6,2.35,0
"3173"," Black and White","Lorene Scafaria",265,101,63,172,"Mark Moses",7000,6619173,"Adventure|Comedy|Drama|Romance|Sci-Fi","Steve Carell","Seeking a Friend for the End of the World ",87203,7747,"Rob Huebel",2,"candle|end of the world|letter|record|road trip","http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1",221,"English","USA","R",1e+07,2012,353,6.7,2.35,25000
"1790","Color","Burr Steers",225,108,23,845,"Bella Heathcote",2000,10907291,"Action|Horror|Romance","Matt Smith","Pride and Prejudice and Zombies ",23775,4710,"Sam Riley",0,"based on novel|damsel in distress|deception|england|zombie","http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1",134,"English","USA","PG-13",2.8e+07,2016,860,5.8,2.35,73000
"3900","Color","Carol Reed",20,105,82,69,"Katy Jurado",746,NA,"Drama|Romance","Gina Lollobrigida","Trapeze ",3102,986,"Sidney James",0,"acrobat|circus|cripple|trapeze|trapeze artist","http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1",35,"English","USA","Approved",4e+06,1956,119,6.8,2.35,283
"4196","Color","Jake Schreier",252,89,14,215,"Joshua Ormond",902,3325638,"Comedy|Crime|Drama|Sci-Fi","Frank Langella","Robot & Frank ",52509,1980,"Ana Gasteyer",3,"burglary|dementia|near future|robot|thief","http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1",84,"English","USA","PG-13",2500000,2012,291,7.1,2.35,13000
"3164","Color","Tim Burton",325,106,13000,309,"Danny Huston",11000,14479776,"Biography|Crime|Drama|Romance","Christoph Waltz","Big Eyes ",55539,12418,"Jon Polito",3,"1950s|abusive husband|artist|painting|secret","http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1",147,"English","USA","PG-13",1e+07,2014,430,7,1.85,20000
"3821","Color","Fatih Akin",115,99,766,269,"Moritz Bleibtreu",595,274385,"Comedy|Drama","Udo Kier","Soul Kitchen ",29203,1519,"Birol Ünel",3,"2000s|burglar|chef|cook|restaurant","http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1",26,"German","Germany","",4e+06,2009,486,7.3,1.85,0
"2998","Color","Carroll Ballard",38,100,19,393,"Hope Davis",706,860002,"Adventure|Drama|Family","Eamonn Walker","Duma ",6454,1579,"Campbell Scott",0,"africa|bed|boy|cheetah|south africa","http://www.imdb.com/title/tt0361715/?ref_=fn_tt_tt_1",43,"English","USA","PG",1.2e+07,2005,442,7.3,1.85,0
